DATE,STATION,fire_risk_score
2023-11-04,USW00024257,0.89136696
2023-03-25,USW00023157,0.8912079
2023-01-24,USW00023157,0.8910716
2023-01-23,USW00023185,0.89089733
2023-01-20,USW00024257,0.890635
2023-06-16,USW00024257,0.8905541
2023-03-05,USW00024257,0.89054006
2023-09-01,USW00023185,0.89053214
2023-10-31,USW00023185,0.8904864
2023-06-06,USW00023155,0.89039695
2023-09-16,USW00024257,0.8903501
2023-11-13,USW00024257,0.8902529
2023-06-30,USW00023157,0.8897651
2023-11-18,USW00093193,0.8896554
2023-12-19,USW00023155,0.8895442
2023-06-03,USW00024257,0.88927466
2023-05-18,USW00023155,0.8891678
2023-04-29,USW00023155,0.88908464
2023-11-16,USW00093193,0.88880014
2023-10-10,USW00024257,0.8887785
2023-02-17,USW00023157,0.8887529
2023-08-29,USW00023157,0.8883448
2023-02-16,USW00023185,0.8881831
2023-12-22,USW00024257,0.8881753
2023-07-18,USW00093193,0.8881553
2023-05-14,USW00023185,0.8879523
2023-02-07,USW00023155,0.88783157
2023-06-04,USW00023185,0.8878047
2023-07-24,USW00023155,0.8877191
2023-01-17,USW00024257,0.8873219
2023-12-29,USW00023157,0.887252
2023-06-05,USW00024257,0.88716984
2023-04-06,USW00024257,0.88715947
2023-07-14,USW00024257,0.88699013
2023-12-06,USW00023157,0.8869764
2023-10-31,USW00093193,0.8866185
2023-02-10,USW00023157,0.88651264
2023-08-18,USW00023185,0.8865009
2023-11-23,USW00023155,0.88645726
2023-11-23,USW00093193,0.88614094
2023-09-14,USW00023185,0.8860748
2023-04-08,USW00024257,0.8859758
2023-12-22,USW00023155,0.88592553
2023-09-27,USW00023185,0.8854942
2023-04-01,USW00023157,0.88544464
2023-04-29,USW00023157,0.885083
2023-03-14,USW00024257,0.884968
2023-03-08,USW00024257,0.8848275
2023-01-26,USW00023157,0.88473874
2023-03-01,USW00093193,0.884541
2023-05-22,USW00093193,0.8845127
2023-07-19,USW00023157,0.8843582
2023-06-10,USW00023155,0.8843033
2023-08-05,USW00024257,0.8841738
2023-12-21,USW00023185,0.8840944
2023-07-24,USW00023157,0.88340276
2023-02-21,USW00093193,0.8831629
2023-12-25,USW00093193,0.8830585
2023-12-06,USW00023232,0.88302225
2023-08-23,USW00023157,0.88294643
2023-02-23,USW00093193,0.8827817
2023-12-28,USW00023157,0.8824711
2023-12-21,USW00023155,0.8821274
2022-09-15,USW00093193,0.88199717
2022-01-02,USW00023157,0.8818558
2023-10-29,USW00093193,0.88180745
2023-02-05,USW00024257,0.8817354
2023-01-06,USW00023157,0.8816227
2023-07-16,USW00093193,0.88131624
2023-02-01,USW00023157,0.88125026
2023-06-13,USW00023157,0.8804844
2023-10-10,USW00023157,0.8804744
2023-12-26,USW00023155,0.8802938
2023-11-03,USW00023155,0.880255
2023-01-22,USW00024257,0.88025165
2023-03-27,USW00023157,0.88017774
2023-12-09,USW00023157,0.88013816
2023-11-23,USW00023185,0.8801348
2023-11-16,USW00023185,0.88006586
2023-07-05,USW00023155,0.87996805
2023-12-14,USW00093193,0.87989444
2023-03-04,USW00023157,0.87981033
2023-11-14,USW00024257,0.8795403
2023-11-02,USW00093193,0.8792194
2023-10-17,USW00024257,0.87905145
2022-09-16,USW00023155,0.87904984
2023-02-02,USW00023157,0.87855333
2023-10-14,USW00023185,0.87854004
2023-09-26,USW00023185,0.87845707
2023-04-14,USW00023155,0.87802327
2023-02-18,USW00023185,0.87797123
2023-12-05,USW00024257,0.8779041
2023-12-14,USW00023157,0.87780744
2023-06-09,USW00024257,0.87779063
2023-01-02,USW00023155,0.87766206
2023-09-15,USW00023155,0.87755656
2023-07-14,USW00023155,0.8775132
2023-08-17,USW00023155,0.8773243
2023-11-13,USW00023155,0.87723345
2023-08-26,USW00023155,0.87703955
2023-04-24,USW00093193,0.8768771
2023-08-19,USW00023155,0.87680554
2023-12-03,USW00093193,0.8767696
2023-07-02,USW00023157,0.87673724
2023-09-19,USW00023155,0.8765383
2023-08-22,USW00023185,0.8763423
2020-03-16,USW00023157,0.8763176
2023-01-13,USW00023185,0.8759325
2023-12-12,USW00023157,0.8758471
2023-02-06,USW00023157,0.8753868
2023-01-28,USW00023155,0.87534976
2023-08-06,USW00023157,0.87519735
2023-11-21,USW00093193,0.87471604
2023-08-16,USW00093193,0.87467104
2023-08-13,USW00024257,0.874523
2023-09-28,USW00023157,0.87446254
2023-06-29,USW00093193,0.8740792
2023-09-03,USW00023157,0.8740786
2023-12-26,USW00024257,0.87398803
2023-09-22,USW00023185,0.8737952
2023-08-07,USW00024257,0.8737935
2023-09-15,USW00024257,0.8737663
2023-09-10,USW00024257,0.8735528
2023-06-09,USW00023157,0.8735389
2023-10-17,USW00023185,0.8731335
2023-01-28,USW00023185,0.87294304
2023-03-09,USW00023155,0.8728999
2023-06-11,USW00023185,0.87280035
2023-11-13,USW00023157,0.8722763
2023-05-19,USW00093193,0.87223977
2023-04-08,USW00023155,0.872236
2023-06-01,USW00024257,0.87179244
2023-10-10,USW00023185,0.871584
2023-05-15,USW00093193,0.87153256
2023-11-30,USW00023157,0.87148637
2021-01-02,USW00023155,0.8713742
2023-08-19,USW00093193,0.87123066
2023-10-07,USW00024257,0.87113154
2023-07-16,USW00023157,0.8709017
2023-08-22,USW00023157,0.87044275
2023-08-11,USW00093193,0.87025416
2023-07-17,USW00024257,0.86965096
2023-06-06,USW00024257,0.86914134
2023-01-01,USW00024257,0.8690468
2023-01-31,USW00023155,0.8688596
2023-06-28,USW00093193,0.8684888
2023-06-27,USW00023157,0.8682643
2023-12-16,USW00023157,0.86761844
2023-11-28,USW00024257,0.86734545
2023-05-16,USW00093193,0.86727947
2023-08-25,USW00023155,0.8671452
2023-03-03,USW00023155,0.86673677
2021-11-01,USW00093193,0.86605287
2023-04-05,USW00024257,0.8659057
2023-12-14,USW00024257,0.86586773
2023-05-21,USW00023157,0.8657693
2023-12-27,USW00023155,0.86570984
2023-10-30,USW00024257,0.8655904
2023-01-25,USW00023157,0.8655497
2023-03-21,USW00093193,0.8654967
2023-10-23,USW00023155,0.86451393
2023-02-07,USW00024257,0.8645121
2023-03-22,USW00024257,0.8640139
2023-02-08,USW00023185,0.8639051
2023-02-13,USW00023185,0.8636962
2023-11-23,USW00024257,0.86366767
2023-12-07,USW00023232,0.8636033
2023-08-25,USW00024257,0.8634089
2023-12-07,USW00023157,0.86270535
2023-03-10,USW00093193,0.86269563
2023-11-18,USW00023155,0.86255217
2023-03-28,USW00024257,0.8623205
2023-11-13,USW00023185,0.86216253
2023-09-27,USW00093193,0.8620222
2023-01-27,USW00024257,0.8617157
2023-07-22,USW00093193,0.8613653
2023-07-28,USW00024257,0.86123484
2023-10-03,USW00093193,0.8612261
2023-12-06,USW00093193,0.86099386
2023-12-11,USW00023185,0.86080885
2023-08-21,USW00023155,0.85990554
2023-09-18,USW00023185,0.859696
2023-06-09,USW00023155,0.8594242
2023-12-04,USW00023157,0.85937333
2023-05-05,USW00023157,0.8591968
2023-10-13,USW00023185,0.85911405
2023-10-09,USW00024257,0.85867214
2023-09-02,USW00023185,0.8584574
2023-11-30,USW00023185,0.8584266
2023-04-20,USW00023157,0.85819334
2023-03-09,USW00093193,0.85797054
2023-03-26,USW00023157,0.85789675
2023-01-28,USW00023157,0.85778964
2023-05-28,USW00023185,0.85726124
2023-05-21,USW00023185,0.85721445
2023-12-26,USW00023185,0.8569316
2023-05-19,USW00023157,0.85683674
2023-12-16,USW00024257,0.85682327
2023-03-14,USW00023155,0.85658896
2023-10-16,USW00023155,0.8565714
2023-11-11,USW00024257,0.8563413
2023-11-11,USW00023185,0.8562467
2023-07-06,USW00023157,0.8562463
2023-07-17,USW00023157,0.85601526
2023-06-29,USW00023157,0.85542506
2023-04-07,USW00093193,0.85536575
2023-04-22,USW00023185,0.8550294
2023-04-27,USW00024257,0.8549239
2023-07-25,USW00024257,0.85488373
2023-11-28,USW00023157,0.8548281
2023-03-25,USW00024257,0.85435027
2023-03-30,USW00093193,0.8541115
2023-05-16,USW00023155,0.8540486
2023-11-12,USW00023185,0.85403275
2023-01-07,USW00023185,0.85368425
2023-09-26,USW00024257,0.8536246
2023-09-08,USW00024257,0.8535881
2023-12-31,USW00023155,0.8535624
2023-12-18,USW00093193,0.8533499
2023-08-06,USW00093193,0.8533396
2023-02-12,USW00023185,0.85285306
2023-05-15,USW00023157,0.8527304
2023-05-27,USW00023157,0.85253876
2022-09-17,USW00023157,0.852436
2023-06-19,USW00023157,0.85226715
2023-08-16,USW00023157,0.85208726
2023-08-17,USW00023157,0.85198194
2023-01-26,USW00023185,0.85171956
2023-09-09,USW00023155,0.85162896
2023-01-23,USW00023155,0.8514002
2023-09-29,USW00093193,0.8513686
2023-09-02,USW00093193,0.85113025
2023-03-26,USW00023155,0.8509366
2023-06-27,USW00023185,0.85086405
2023-06-09,USW00023185,0.8508398
2023-02-20,USW00023185,0.85044575
2023-07-07,USW00023157,0.8503353
2023-08-20,USW00024257,0.85018873
2023-04-20,USW00023155,0.85001075
2023-02-17,USW00093193,0.84992635
2023-09-03,USW00023155,0.84989023
2023-10-30,USW00023157,0.8496322
2023-07-04,USW00023157,0.8494302
2023-09-11,USW00024257,0.8491178
2023-12-07,USW00093193,0.8489102
2023-06-15,USW00023157,0.8487065
2023-07-01,USW00023155,0.8486716
2023-06-18,USW00023157,0.8484961
2023-01-25,USW00024257,0.84844345
2023-11-16,USW00023157,0.8482417
2023-07-15,USW00024257,0.84796786
2023-02-11,USW00023157,0.8478588
2023-02-05,USW00093193,0.84734654
2023-01-15,USW00093193,0.8470665
2023-05-16,USW00024257,0.84704393
2023-01-22,USW00093193,0.8468699
2023-03-11,USW00093193,0.8466646
2023-02-03,USW00093193,0.8466526
2023-10-19,USW00024257,0.846616
2023-06-08,USW00023155,0.8464923
2020-05-07,USW00023157,0.8464229
2023-09-12,USW00023157,0.8464006
2023-09-03,USW00093193,0.8463697
2023-04-09,USW00024257,0.8462979
2023-11-25,USW00023185,0.84594417
2023-10-01,USW00023157,0.8457787
2023-05-27,USW00093193,0.84532076
2023-12-02,USW00093193,0.8452473
2023-10-12,USW00023157,0.84513545
2023-01-11,USW00023155,0.84512097
2023-12-27,USW00093193,0.84498364
2023-12-08,USW00023185,0.844954
2023-09-18,USW00023157,0.84475195
2020-07-08,USW00023155,0.84464926
2023-07-21,USW00023157,0.84440863
2023-01-17,USW00023155,0.8443835
2023-11-09,USW00024257,0.84425646
2023-01-26,USW00023155,0.8441438
2023-08-18,USW00024257,0.8440613
2023-07-26,USW00023155,0.8437147
2023-10-02,USW00093193,0.8434767
2023-08-14,USW00023155,0.84340286
2023-12-01,USW00023157,0.8432815
2023-07-18,USW00023185,0.8432375
2023-06-15,USW00093193,0.843186
2023-08-23,USW00023155,0.8428582
2022-06-20,USW00023157,0.8427875
2023-09-23,USW00023155,0.8426729
2023-08-25,USW00093193,0.84264714
2023-09-19,USW00023157,0.84226143
2022-11-18,USW00023157,0.84196866
2023-12-24,USW00023157,0.8417746
2023-01-16,USW00024257,0.84165585
2023-05-29,USW00023185,0.84142596
2023-07-16,USW00024257,0.841388
2023-11-03,USW00093193,0.8413691
2023-05-14,USW00024257,0.84109795
2021-07-11,USW00024257,0.84101087
2023-03-27,USW00024257,0.84054524
2023-10-18,USW00093193,0.8404959
2023-03-03,USW00024257,0.840176
2023-04-01,USW00093193,0.840158
2023-10-19,USW00023157,0.8400845
2023-08-10,USW00093193,0.8398863
2023-11-08,USW00024257,0.83982205
2023-09-21,USW00023185,0.83979154
2023-12-02,USW00023157,0.8397354
2023-08-15,USW00093193,0.8396087
2023-08-07,USW00023185,0.83945596
2023-05-03,USW00093193,0.8394279
2023-03-08,USW00093193,0.839305
2023-04-20,USW00023185,0.83927757
2023-05-20,USW00023155,0.8390551
2023-10-28,USW00023185,0.8389074
2023-07-08,USW00023155,0.8386871
2023-05-22,USW00024257,0.83844006
2023-01-22,USW00023155,0.83815426
2023-03-30,USW00023155,0.83805144
2023-05-04,USW00093193,0.8378552
2023-05-31,USW00023157,0.83779573
2023-02-02,USW00024257,0.83750653
2021-10-24,USW00023157,0.8370931
2023-10-02,USW00023155,0.836882
